v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
1.1 0.0 0.1 -9.46053e-05 2.50983e-10 9.460516e-05 -1.03052e-10
0.0 0.0 0.15 2.067567e-12 1.41186e-14 -2.08016e-12 -1.4988e-15
0.05 0.0 0.15 1.518666e-12 5.237043e-14 -1.56951e-12 -1.4988e-15
0.1 0.0 0.15 1.01606e-12 5.266198e-14 -1.06719e-12 -1.4988e-15
0.15 0.0 0.15 -1.25989e-14 2.672542e-14 -1.25989e-14 -1.4988e-15
0.2 0.0 0.15 -6.27152e-12 6.287756e-14 6.210169e-12 -1.4988e-15
0.25 0.0 0.15 -5.35567e-11 1.625185e-13 5.339574e-11 -1.4988e-15
0.3 0.0 0.15 -4.02722e-10 3.186006e-13 4.024054e-10 -1.4988e-15
0.35 0.0 0.15 -2.8421e-09 5.460537e-13 2.841553e-09 -1.60982e-15
0.4 0.0 0.15 -1.82173e-08 8.731238e-13 1.821641e-08 -1.60982e-15
0.45 0.0 0.15 -1.01377e-07 1.403635e-12 1.013758e-07 -1.88738e-15
0.5 0.0 0.15 -4.78033e-07 2.534316e-12 4.780305e-07 -3.05311e-15
0.55 0.0 0.15 -1.8012e-06 4.753165e-12 1.801194e-06 -7.54952e-15
0.6 0.0 0.15 -4.96866e-06 8.038815e-12 4.96865e-06 -1.89293e-14
0.65 0.0 0.15 -1.021e-05 1.241978e-11 1.020999e-05 -4.26881e-14
0.7 0.0 0.15 -1.70481e-05 1.80875e-11 1.704809e-05 -8.99281e-14
0.75 0.0 0.15 -2.49499e-05 2.530768e-11 2.494986e-05 -1.93012e-13
0.8 0.0 0.15 -3.35676e-05 3.444414e-11 3.356753e-05 -4.39565e-13
0.85 0.0 0.15 -4.26965e-05 4.605623e-11 4.269647e-05 -1.06531e-12
0.9 0.0 0.15 -5.22101e-05 6.1138e-11 5.221009e-05 -2.68663e-12
0.95 0.0 0.15 -6.20233e-05 8.168342e-11 6.202326e-05 -6.86035e-12
1.0 0.0 0.15 -7.2075e-05 1.118798e-10 7.207488e-05 -1.72696e-11
1.05 0.0 0.15 -8.23195e-05 1.601251e-10 8.23194e-05 -4.17323e-11
1.1 0.0 0.15 -9.27221e-05 2.412791e-10 9.272199e-05 -9.44434e-11
0.0 0.0 0.2 1.586953e-11 5.027073e-14 -1.59183e-11 -1.4988e-15
0.05 0.0 0.2 1.212857e-11 8.852256e-14 -1.22156e-11 -1.4988e-15
0.1 0.0 0.2 9.134154e-12 8.881411e-14 -9.22144e-12 -1.4988e-15
0.15 0.0 0.2 6.210169e-12 6.287756e-14 -6.27152e-12 -1.4988e-15
0.2 0.0 0.2 -4.87493e-14 9.902624e-14 -4.87493e-14 -1.4988e-15
0.25 0.0 0.2 -3.6459e-11 1.986673e-13 3.626181e-11 -1.4988e-15
0.3 0.0 0.2 -3.05284e-10 3.547496e-13 3.049307e-10 -1.4988e-15
0.35 0.0 0.2 -2.20605e-09 5.82203e-13 2.205472e-09 -1.60982e-15
0.4 0.0 0.2 -1.44112e-08 9.092702e-13 1.441028e-08 -1.58207e-15
0.45 0.0 0.2 -8.18948e-08 1.439665e-12 8.18934e-08 -1.83187e-15
0.5 0.0 0.2 -3.95163e-07 2.56844e-12 3.951603e-07 -2.72005e-15
0.55 0.0 0.2 -1.54e-06 4.776662e-12 1.539999e-06 -6.10623e-15
0.6 0.0 0.2 -4.42043e-06 8.037711e-12 4.420424e-06 -1.55431e-14
0.65 0.0 0.2 -9.37595e-06 1.238224e-11 9.375936e-06 -3.56659e-14
0.7 0.0 0.2 -1.59867e-05 1.800252e-11 1.598669e-05 -7.6994e-14
0.75 0.0 0.2 -2.37126e-05 2.515956e-11 2.371254e-05 -1.68004e-13
0.8 0.0 0.2 -3.21886e-05 3.420509e-11 3.218858e-05 -3.87385e-13
0.85 0.0 0.2 -4.11991e-05 4.567072e-11 4.119911e-05 -9.45716e-13
0.9 0.0 0.2 -5.06114e-05 6.04844e-11 5.061134e-05 -2.39703e-12
0.95 0.0 0.2 -6.03365e-05 8.048567e-11 6.033641e-05 -6.14633e-12
1.0 0.0 0.2 -7.03107e-05 1.095334e-10 7.031065e-05 -1.55524e-11
1.05 0.0 0.2 -8.04866e-05 1.554414e-10 8.048651e-05 -3.78529e-11
1.1 0.0 0.2 -9.08277e-05 2.322776e-10 9.082751e-05 -8.64556e-11
0.0 0.0 0.25 1.1908e-10 1.499117e-13 -1.19228e-10 -1.4988e-15
0.05 0.0 0.25 9.200555e-11 1.881635e-13 -9.21922e-11 -1.4988e-15
0.1 0.0 0.25 7.067005e-11 1.88455e-13 -7.0857e-11 -1.4988e-15
0.15 0.0 0.25 5.339574e-11 1.625185e-13 -5.35567e-11 -1.4988e-15
0.2 0.0 0.25 3.626181e-11 1.986673e-13 -3.6459e-11 -1.4988e-15
0.25 0.0 0.25 -1.48376e-13 2.98279e-13 -1.48376e-13 -1.4988e-15
0.3 0.0 0.25 -2.0837e-10 4.543622e-13 2.079175e-10 -1.4988e-15
0.35 0.0 0.25 -1.68239e-09 6.81817e-13 1.681709e-09 -1.60982e-15
0.4 0.0 0.25 -1.13125e-08 1.008886e-12 1.131153e-08 -1.58207e-15
0.45 0.0 0.25 -6.58079e-08 1.539197e-12 6.580636e-08 -1.83187e-15
0.5 0.0 0.25 -3.25049e-07 2.666311e-12 3.250464e-07 -2.498e-15
0.55 0.0 0.25 -1.30874e-06 4.864622e-12 1.308738e-06 -4.996e-15
0.6 0.0 0.25 -3.9103e-06 8.10181e-12 3.910296e-06 -1.25733e-14
0.65 0.0 0.25 -8.57312e-06 1.241054e-11 8.573104e-06 -2.95042e-14
0.7 0.0 0.25 -1.49452e-05 1.798449e-11 1.494518e-05 -6.53921e-14
0.75 0.0 0.25 -2.24849e-05 2.508053e-11 2.248484e-05 -1.45439e-13
0.8 0.0 0.25 -3.08108e-05 3.403932e-11 3.081075e-05 -3.40283e-13
0.85 0.0 0.25 -3.96959e-05 4.536724e-11 3.969588e-05 -8.38218e-13
0.9 0.0 0.25 -4.90011e-05 5.993232e-11 4.900103e-05 -2.13629e-12
0.95 0.0 0.25 -5.86335e-05 7.943331e-11 5.863344e-05 -5.50265e-12
1.0 0.0 0.25 -6.85269e-05 1.07425e-10 6.85268e-05 -1.39949e-11
1.05 0.0 0.25 -7.86316e-05 1.511668e-10 7.863153e-05 -3.43008e-11
1.1 0.0 0.25 -8.89097e-05 2.239483e-10 8.890952e-05 -7.9054e-11
0.0 0.0 0.3 8.636383e-10 3.059941e-13 -8.63943e-10 -1.4988e-15
0.05 0.0 0.3 6.725828e-10 3.442457e-13 -6.72926e-10 -1.60982e-15
0.1 0.0 0.3 5.219133e-10 3.445372e-13 -5.22256e-10 -1.60982e-15
0.15 0.0 0.3 4.024054e-10 3.186006e-13 -4.02722e-10 -1.4988e-15
0.2 0.0 0.3 3.049307e-10 3.547496e-13 -3.05284e-10 -1.4988e-15
0.25 0.0 0.3 2.079175e-10 4.543622e-13 -2.0837e-10 -1.4988e-15
0.3 0.0 0.3 -3.04336e-13 6.10201e-13 -3.04336e-13 -1.4988e-15
0.35 0.0 0.3 -1.15477e-09 8.376638e-13 1.153937e-09 -1.4988e-15
0.4 0.0 0.3 -8.71795e-09 1.164743e-12 8.716785e-09 -1.60982e-15
0.45 0.0 0.3 -5.24468e-08 1.695013e-12 5.24451e-08 -1.66533e-15
0.5 0.0 0.3 -2.65758e-07 2.820731e-12 2.65755e-07 -2.19269e-15
0.55 0.0 0.3 -1.1048e-06 5.009915e-12 1.104793e-06 -4.16334e-15
0.6 0.0 0.3 -3.43699e-06 8.22413e-12 3.436979e-06 -9.99201e-15
0.65 0.0 0.3 -7.80035e-06 1.249789e-11 7.800333e-06 -2.41751e-14
0.7 0.0 0.3 -1.39208e-05 1.802684e-11 1.392081e-05 -5.49005e-14
0.75 0.0 0.3 -2.1262e-05 2.506429e-11 2.126198e-05 -1.25233e-13
0.8 0.0 0.3 -2.94275e-05 3.394069e-11 2.942745e-05 -2.97928e-13
0.85 0.0 0.3 -3.81788e-05 4.513943e-11 3.817875e-05 -7.41518e-13
