v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
0.0 0.0 0.0 1.388945e-17 3.211226e-15 1.388945e-17 -3.27516e-15
0.05 0.0 0.0 -1.44272e-13 8.449651e-14 6.30142e-14 -3.27516e-15
0.1 0.0 0.0 -6.39286e-13 8.51163e-14 5.574092e-13 -3.27516e-15
0.15 0.0 0.0 -4.42383e-12 3.000203e-14 4.397066e-12 -3.27516e-15
0.2 0.0 0.0 -3.38545e-11 1.068253e-13 3.375096e-11 -3.27516e-15
0.25 0.0 0.0 -2.53578e-10 3.185624e-13 2.532624e-10 -3.27516e-15
0.3 0.0 0.0 -1.83748e-09 6.502374e-13 1.836829e-09 -3.27516e-15
0.35 0.0 0.0 -1.25109e-08 1.13358e-12 1.250977e-08 -3.38618e-15
0.4 0.0 0.0 -7.62904e-08 1.828661e-12 7.62886e-08 -3.55271e-15
0.45 0.0 0.0 -3.99673e-07 2.957124e-12 3.996697e-07 -4.91274e-15
0.5 0.0 0.0 -1.7508e-06 5.375021e-12 1.750792e-06 -1.04361e-14
0.55 0.0 0.0 -5.90975e-06 1.016596e-11 5.909738e-06 -2.81997e-14
0.6 0.0 0.0 -1.44901e-05 1.731168e-11 1.449012e-05 -6.89448e-14
0.65 0.0 0.0 -2.72444e-05 2.685805e-11 2.724437e-05 -1.45661e-13
0.7 0.0 0.0 -4.29224e-05 3.921223e-11 4.292233e-05 -2.91323e-13
0.75 0.0 0.0 -6.04919e-05 5.49753e-11 6.049183e-05 -6.01519e-13
0.8 0.0 0.0 -7.93337e-05 7.501081e-11 7.933359e-05 -1.33837e-12
0.85 0.0 0.0 -9.90877e-05 1.007204e-10 9.908757e-05 -3.19886e-12
0.9 0.0 0.0 -0.000119529 1.347278e-10 0.0001195292 -7.98719e-12
0.95 0.0 0.0 -0.000140508 1.82449e-10 0.0001405074 -2.0173e-11
1.0 0.0 0.0 -0.000161915 2.552073e-10 0.0001619148 -4.99885e-11
1.05 0.0 0.0 -0.000183674 3.749264e-10 0.0001836737 -1.18104e-10
1.1 0.0 0.0 -0.000205728 5.783347e-10 0.0002057276 -2.59814e-10
0.0 0.0 0.05 6.30142e-14 8.449651e-14 -1.44272e-13 -3.27516e-15
0.05 0.0 0.05 -8.12712e-14 1.657816e-13 -8.12712e-14 -3.27516e-15
0.1 0.0 0.05 -4.58885e-13 1.664014e-13 2.957233e-13 -3.27516e-15
0.15 0.0 0.05 -3.33753e-12 1.112872e-13 3.229482e-12 -3.27516e-15
0.2 0.0 0.05 -2.59787e-11 1.881104e-13 2.579383e-11 -3.27516e-15
0.25 0.0 0.05 -1.96073e-10 3.998474e-13 1.95676e-10 -3.27516e-15
0.3 0.0 0.05 -1.4312e-09 7.315221e-13 1.430468e-09 -3.27516e-15
0.35 0.0 0.05 -9.85138e-09 1.214862e-12 9.850172e-09 -3.33067e-15
0.4 0.0 0.05 -6.10764e-08 1.909918e-12 6.10745e-08 -3.60822e-15
0.45 0.0 0.05 -3.26436e-07 3.037941e-12 3.264325e-07 -4.44089e-15
0.5 0.0 0.05 -1.46662e-06 5.450252e-12 1.466617e-06 -8.77076e-15
0.55 0.0 0.05 -5.1388e-06 1.021456e-11 5.138789e-06 -2.3398e-14
0.6 0.0 0.05 -1.30858e-05 1.730443e-11 1.30858e-05 -5.79259e-14
0.65 0.0 0.05 -2.52904e-05 2.677033e-11 2.529037e-05 -1.25011e-13
0.7 0.0 0.05 -4.0555e-05 3.901778e-11 4.055495e-05 -2.54324e-13
0.75 0.0 0.05 -5.78086e-05 5.463386e-11 5.780856e-05 -5.30936e-13
0.8 0.0 0.05 -7.63951e-05 7.444856e-11 7.639504e-05 -1.18905e-12
0.85 0.0 0.05 -9.59329e-05 9.97846e-11 9.593278e-05 -2.85266e-12
0.9 0.0 0.05 -0.000116185 1.330775e-10 0.0001161848 -7.14506e-12
0.95 0.0 0.05 -0.000136992 1.793135e-10 0.0001369916 -1.81127e-11
1.0 0.0 0.05 -0.00015824 2.489483e-10 0.0001582394 -4.51278e-11
1.05 0.0 0.05 -0.000179845 3.624869e-10 0.0001798445 -1.07452e-10
1.1 0.0 0.05 -0.000201745 5.549268e-10 0.0002017445 -2.38655e-10
0.0 0.0 0.1 5.574092e-13 8.51163e-14 -6.39286e-13 -3.27516e-15
0.05 0.0 0.1 2.957233e-13 1.664014e-13 -4.58885e-13 -3.27516e-15
0.1 0.0 0.1 -8.18908e-14 1.67021e-13 -8.18908e-14 -3.27516e-15
0.15 0.0 0.1 -2.26878e-12 1.119067e-13 2.160112e-12 -3.27516e-15
0.2 0.0 0.1 -1.96093e-11 1.8873e-13 1.942382e-11 -3.27516e-15
0.25 0.0 0.1 -1.50691e-10 4.00467e-13 1.502941e-10 -3.27516e-15
0.3 0.0 0.1 -1.11073e-09 7.321415e-13 1.109999e-09 -3.27516e-15
0.35 0.0 0.1 -7.73295e-09 1.21548e-12 7.731739e-09 -3.21965e-15
