v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
1.1 1.1 0.1 -4.98112e-05 -2.74083e-11 4.981124e-05 1.848128e-11
0.0 1.1 0.15 2.426349e-05 -3.67262e-11 -2.42635e-05 2.143961e-11
0.05 1.1 0.15 1.645208e-05 -2.11804e-11 -1.64521e-05 8.703534e-12
0.1 1.1 0.15 8.39029e-06 -1.35696e-11 -8.39028e-06 3.398695e-12
0.15 1.1 0.15 4.134041e-12 -9.56568e-12 4.134041e-12 1.296891e-12
0.2 1.1 0.15 -8.00906e-06 -9.31966e-12 8.009067e-06 1.424141e-12
0.25 1.1 0.15 -1.49043e-05 -9.13669e-12 1.490434e-05 1.563888e-12
0.3 1.1 0.15 -2.074e-05 -9.023e-12 2.074001e-05 1.717421e-12
0.35 1.1 0.15 -2.5546e-05 -8.97682e-12 2.554597e-05 1.886284e-12
0.4 1.1 0.15 -2.93186e-05 -8.99192e-12 2.931866e-05 2.072427e-12
0.45 1.1 0.15 -3.20654e-05 -9.07185e-12 3.20654e-05 2.278209e-12
0.5 1.1 0.15 -3.39493e-05 -9.21929e-12 3.394934e-05 2.50571e-12
0.55 1.1 0.15 -3.52902e-05 -9.42268e-12 3.529017e-05 2.756175e-12
0.6 1.1 0.15 -3.63502e-05 -9.67404e-12 3.635022e-05 3.030723e-12
0.65 1.1 0.15 -3.72687e-05 -9.96891e-12 3.726868e-05 3.330894e-12
0.7 1.1 0.15 -3.81114e-05 -1.03029e-11 3.811136e-05 3.658628e-12
0.75 1.1 0.15 -3.89104e-05 -1.06759e-11 3.891041e-05 4.016166e-12
0.8 1.1 0.15 -3.96827e-05 -1.1088e-11 3.968272e-05 4.405997e-12
0.85 1.1 0.15 -4.04378e-05 -1.15428e-11 4.043783e-05 4.830843e-12
0.9 1.1 0.15 -4.11815e-05 -1.20393e-11 4.11815e-05 5.293656e-12
0.95 1.1 0.15 -4.19175e-05 -1.25819e-11 4.191753e-05 5.797626e-12
1.0 1.1 0.15 -4.26488e-05 -1.31726e-11 4.264877e-05 6.34619e-12
1.05 1.1 0.15 -4.33778e-05 -1.38103e-11 4.337781e-05 6.943044e-12
1.1 1.1 0.15 -4.41075e-05 -1.44977e-11 4.410749e-05 7.592157e-12
0.0 1.1 0.2 3.060349e-05 -3.81482e-11 -3.06035e-05 2.329765e-11
0.05 1.1 0.2 2.325356e-05 -2.15659e-11 -2.32535e-05 9.506395e-12
0.1 1.1 0.2 1.5738e-05 -1.34923e-11 -1.5738e-05 3.724564e-12
0.15 1.1 0.2 8.009067e-06 -9.31966e-12 -8.00906e-06 1.424141e-12
0.2 1.1 0.2 3.180826e-12 -6.89937e-12 3.180826e-12 5.369146e-13
0.25 1.1 0.2 -7.55569e-06 -6.65334e-12 7.5557e-06 5.903948e-13
0.3 1.1 0.2 -1.39198e-05 -6.45528e-12 1.391985e-05 6.494202e-13
0.35 1.1 0.2 -1.91541e-05 -6.30962e-12 1.915411e-05 7.146868e-13
0.4 1.1 0.2 -2.32886e-05 -6.21458e-12 2.328856e-05 7.87156e-13
0.45 1.1 0.2 -2.63334e-05 -6.1684e-12 2.633338e-05 8.681798e-13
